ts,bezug_kwh_qh,einsp_kwh_qh
2025-09-01T00:00:00,2.535,0.0
2025-09-01T00:15:00,2.76,0.0
2025-09-01T00:30:00,4.02,0.0
2025-09-01T00:45:00,3.015,0.0
2025-09-01T01:00:00,2.505,0.0
2025-09-01T01:15:00,2.445,0.0
2025-09-01T01:30:00,2.46,0.0
2025-09-01T01:45:00,2.415,0.0
2025-09-01T02:00:00,3.69,0.0
2025-09-01T02:15:00,3.675,0.0
2025-09-01T02:30:00,2.25,0.0
2025-09-01T02:45:00,3.39,0.0
2025-09-01T03:00:00,3.675,0.0
2025-09-01T03:15:00,3.555,0.0
2025-09-01T03:30:00,2.25,0.0
2025-09-01T03:45:00,3.54,0.0
2025-09-01T04:00:00,3.705,0.0
2025-09-01T04:15:00,3.585,0.0
2025-09-01T04:30:00,2.25,0.0
2025-09-01T04:45:00,3.06,0.0
2025-09-01T05:00:00,3.66,0.0
2025-09-01T05:15:00,4.035,0.0
2025-09-01T05:30:00,3.42,0.0
2025-09-01T05:45:00,3.435,0.0
2025-09-01T06:00:00,5.04,0.0
2025-09-01T06:15:00,5.67,0.0
2025-09-01T06:30:00,4.845,0.0
2025-09-01T06:45:00,3.555,0.0
2025-09-01T07:00:00,8.355,0.0
2025-09-01T07:15:00,12.825,0.0
2025-09-01T07:30:00,11.895,0.0
2025-09-01T07:45:00,10.785,0.0
2025-09-01T08:00:00,7.83,0.0
2025-09-01T08:15:00,5.97,0.0
2025-09-01T08:30:00,6.27,0.0
2025-09-01T08:45:00,7.41,0.0
2025-09-01T09:00:00,9.165,0.0
2025-09-01T09:15:00,12.525,0.0
2025-09-01T09:30:00,12.21,0.0
2025-09-01T09:45:00,10.215,0.0
2025-09-01T10:00:00,12.66,0.0
2025-09-01T10:15:00,10.695,0.0
2025-09-01T10:30:00,2.265,0.165
2025-09-01T10:45:00,1.23,0.345
2025-09-01T11:00:00,1.29,0.255
2025-09-01T11:15:00,1.545,0.12
2025-09-01T11:30:00,3.99,0.09
2025-09-01T11:45:00,10.365,0.0
2025-09-01T12:00:00,2.805,0.45
2025-09-01T12:15:00,0.54,0.885
2025-09-01T12:30:00,0.765,0.675
2025-09-01T12:45:00,0.45,0.705
2025-09-01T13:00:00,1.275,0.555
2025-09-01T13:15:00,3.765,0.165
2025-09-01T13:30:00,0.78,0.48
2025-09-01T13:45:00,0.225,0.72
2025-09-01T14:00:00,0.0,2.505
2025-09-01T14:15:00,0.195,1.125
2025-09-01T14:30:00,0.06,3.27
2025-09-01T14:45:00,0.045,4.725
2025-09-01T15:00:00,0.0,5.655
2025-09-01T15:15:00,0.03,3.78
2025-09-01T15:30:00,0.105,1.77
2025-09-01T15:45:00,0.18,0.315
2025-09-01T16:00:00,3.45,0.0
2025-09-01T16:15:00,5.61,0.0
2025-09-01T16:30:00,2.22,0.48
2025-09-01T16:45:00,4.05,0.39
2025-09-01T17:00:00,7.41,0.0
2025-09-01T17:15:00,7.56,0.0
2025-09-01T17:30:00,7.89,0.0
2025-09-01T17:45:00,7.185,0.0
2025-09-01T18:00:00,5.985,0.0
2025-09-01T18:15:00,6.255,0.0
2025-09-01T18:30:00,6.735,0.0
2025-09-01T18:45:00,7.995,0.0
2025-09-01T19:00:00,8.625,0.0
2025-09-01T19:15:00,8.025,0.0
2025-09-01T19:30:00,7.575,0.0
2025-09-01T19:45:00,5.73,0.0
2025-09-01T20:00:00,6.105,0.0
2025-09-01T20:15:00,4.74,0.0
2025-09-01T20:30:00,4.455,0.0
2025-09-01T20:45:00,4.515,0.0
2025-09-01T21:00:00,3.825,0.0
2025-09-01T21:15:00,3.645,0.0
2025-09-01T21:30:00,3.495,0.0
2025-09-01T21:45:00,3.195,0.0
2025-09-01T22:00:00,3.06,0.0
2025-09-01T22:15:00,4.215,0.0
2025-09-01T22:30:00,4.71,0.0
2025-09-01T22:45:00,3.135,0.0
2025-09-01T23:00:00,2.655,0.0
2025-09-01T23:15:00,2.985,0.0
2025-09-01T23:30:00,2.625,0.0
2025-09-01T23:45:00,3.735,0.0
2025-09-02T00:00:00,3.765,0.0
2025-09-02T00:15:00,2.46,0.0
2025-09-02T00:30:00,2.55,0.0
2025-09-02T00:45:00,2.52,0.0
2025-09-02T01:00:00,3.21,0.0
2025-09-02T01:15:00,3.855,0.0
2025-09-02T01:30:00,4.185,0.0
2025-09-02T01:45:00,3.81,0.0
2025-09-02T02:00:00,2.475,0.0
2025-09-02T02:15:00,2.52,0.0
2025-09-02T02:30:00,3.975,0.0
2025-09-02T02:45:00,3.885,0.0
2025-09-02T03:00:00,3.57,0.0
2025-09-02T03:15:00,3.645,0.0
2025-09-02T03:30:00,3.705,0.0
2025-09-02T03:45:00,3.78,0.0
2025-09-02T04:00:00,3.75,0.0
2025-09-02T04:15:00,2.805,0.0
2025-09-02T04:30:00,2.67,0.0
2025-09-02T04:45:00,3.675,0.0
2025-09-02T05:00:00,3.675,0.0
2025-09-02T05:15:00,4.605,0.0
2025-09-02T05:30:00,3.465,0.0
2025-09-02T05:45:00,3.45,0.0
2025-09-02T06:00:00,3.66,0.0
2025-09-02T06:15:00,5.19,0.0
2025-09-02T06:30:00,4.92,0.0
2025-09-02T06:45:00,3.795,0.0
2025-09-02T07:00:00,7.095,0.0
2025-09-02T07:15:00,10.485,0.0
2025-09-02T07:30:00,10.125,0.0
2025-09-02T07:45:00,10.215,0.0
2025-09-02T08:00:00,7.98,0.0
2025-09-02T08:15:00,7.575,0.0
2025-09-02T08:30:00,8.595,0.0
2025-09-02T08:45:00,8.475,0.0
